Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR14742351,2021-10-07 00:00:27,2021-06-06 09:41:37,45684,25721202,45684,563,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14742/SRR14742351/SRR14742351.lite.1,SRX11076977,29V_End,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP322898,PRJNA735440,,735440,SRS9142896,SAMN19582204,simple,1632839,human vaginal metagenome,29V_End,,,,,,,no,,,,,MURDOCH CHILDRENS RESEARCH INSTITUTE,SRA1241179,,public,9BC6568C397BDD8819C7BA84BAADB1FB,3456C860F6F89E2932B29DD66FDE540B
SRR14742353,2021-10-07 00:00:27,2021-06-06 09:41:35,43091,24236200,43090,562,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR014/14742/SRR14742353/SRR14742353.lite.1,SRX11076975,29V_W4,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP322898,PRJNA735440,,735440,SRS9142895,SAMN19582202,simple,1632839,human vaginal metagenome,29V_W4,,,,,,,no,,,,,MURDOCH CHILDRENS RESEARCH INSTITUTE,SRA1241179,,public,27B1798F0647E6C72D9198149CC87292,003DDBA9350558CC8AB3FBD6FCCA54F7
SRR14742352,2021-10-07 00:00:27,2021-06-06 09:41:40,35194,19806822,35194,562,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR014/14742/SRR14742352/SRR14742352.lite.1,SRX11076976,29V_W8,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP322898,PRJNA735440,,735440,SRS9142897,SAMN19582203,simple,1632839,human vaginal metagenome,29V_W8,,,,,,,no,,,,,MURDOCH CHILDRENS RESEARCH INSTITUTE,SRA1241179,,public,BFC375481C40DCB5B818CA5E85233716,158E6191F1DA8FC33B78C57CB1F225DD
SRR14742350,2021-10-07 00:00:27,2021-06-06 09:41:38,56079,31521763,56078,562,16,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1301/SRR014/14742/SRR14742350/SRR14742350.lite.1,SRX11076978,30V_D0,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP322898,PRJNA735440,,735440,SRS9142898,SAMN19582205,simple,1632839,human vaginal metagenome,30V_D0,,,,,,,no,,,,,MURDOCH CHILDRENS RESEARCH INSTITUTE,SRA1241179,,public,1C6AA2C256968F2FD0DFC7D7947084DB,79309A0D1F0F77723F27DB294E34CF41
SRR14742349,2021-10-07 00:00:27,2021-06-06 09:41:36,38325,21562345,38325,562,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14742/SRR14742349/SRR14742349.lite.1,SRX11076979,30V_D8,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP322898,PRJNA735440,,735440,SRS9142899,SAMN19582206,simple,1632839,human vaginal metagenome,30V_D8,,,,,,,no,,,,,MURDOCH CHILDRENS RESEARCH INSTITUTE,SRA1241179,,public,CA6069778ABAA2AFA484E5861BFBA1DF,818B37381915694C8A0B6C32BF9AEF4C
SRR14742345,2021-10-07 00:00:27,2021-06-06 09:41:44,42965,24184026,42965,562,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14742/SRR14742345/SRR14742345.lite.1,SRX11076983,30V_End,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP322898,PRJNA735440,,735440,SRS9142903,SAMN19582209,simple,1632839,human vaginal metagenome,30V_End,,,,,,,no,,,,,MURDOCH CHILDRENS RESEARCH INSTITUTE,SRA1241179,,public,3F0D518B8AAA6EFEC38F40E82D838CC2,5DF9B38AF4643102CD2313F559CC327B
SRR14742348,2021-10-07 00:00:27,2021-06-06 09:41:42,37070,20867194,37070,562,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14742/SRR14742348/SRR14742348.lite.1,SRX11076980,30V_W4,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP322898,PRJNA735440,,735440,SRS9142900,SAMN19582207,simple,1632839,human vaginal metagenome,30V_W4,,,,,,,no,,,,,MURDOCH CHILDRENS RESEARCH INSTITUTE,SRA1241179,,public,E8B779B54B369122B7E80E0B07F18604,6313657076026082FEEEE0DB02C2398B
SRR14742347,2021-10-07 00:00:27,2021-06-06 09:41:36,40621,22869987,40621,563,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1301/SRR014/14742/SRR14742347/SRR14742347.lite.1,SRX11076981,30V_W8,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP322898,PRJNA735440,,735440,SRS9142902,SAMN19582208,simple,1632839,human vaginal metagenome,30V_W8,,,,,,,no,,,,,MURDOCH CHILDRENS RESEARCH INSTITUTE,SRA1241179,,public,49595D21C5653149A2664767C9AE02A4,8A88F6B6ABC23237C79D382B79AF3E5D
SRR14742344,2021-10-07 00:00:27,2021-06-06 09:41:32,43144,24236399,43144,561,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14742/SRR14742344/SRR14742344.lite.1,SRX11076984,31V_D0,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP322898,PRJNA735440,,735440,SRS9142904,SAMN19582210,simple,1632839,human vaginal metagenome,31V_D0,,,,,,,no,,,,,MURDOCH CHILDRENS RESEARCH INSTITUTE,SRA1241179,,public,89E6C7529CAE5A28F1C360083DB29A0D,A2020C1041BF2C520047E2667FF4FE14
SRR14742343,2021-10-07 00:00:27,2021-06-06 09:41:34,34550,19441526,34550,562,8,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14742/SRR14742343/SRR14742343.lite.1,SRX11076985,31V_D8,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP322898,PRJNA735440,,735440,SRS9142905,SAMN19582211,simple,1632839,human vaginal metagenome,31V_D8,,,,,,,no,,,,,MURDOCH CHILDRENS RESEARCH INSTITUTE,SRA1241179,,public,BDF4D0F63FBCDC4A1E5878203604C9AA,A8896B6ABDCAAE5ECFE0F70B487B387E
