Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR5940850,2018-02-20 00:08:05,2017-08-17 03:14:59,168307,101192293,168307,601,56,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/940/SRR5940850.sralite.1,SRX3099468,3002.D8,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP115591,PRJNA398590,2,398590,SRS2435508,SAMN07513504,simple,1632839,human vaginal metagenome,3002.D8,,,,,,,no,,,,,MURDOCH CHILDRENS RESEARCH INSTITUTE,SRA599826,,public,A39FC3D572147E4680C9A62F1410FA2C,FA8FD153983D7EEA88106D371880BB27
SRR5940851,2018-02-20 00:08:05,2017-08-17 03:14:58,29151,17535968,29151,601,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/940/SRR5940851.sralite.1,SRX3099467,3003.D0,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP115591,PRJNA398590,2,398590,SRS2435507,SAMN07513505,simple,1632839,human vaginal metagenome,3003.D0,,,,,,,no,,,,,MURDOCH CHILDRENS RESEARCH INSTITUTE,SRA599826,,public,AF699E3A2ABF74236752FA38E6F20A62,8C5620543D5C4D54DB0BD90C75DAE265
SRR5940838,2018-02-20 00:08:05,2017-08-17 03:15:02,34872,20984643,34872,601,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/940/SRR5940838.sralite.1,SRX3099480,3003.D28,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP115591,PRJNA398590,2,398590,SRS2435520,SAMN07513506,simple,1632839,human vaginal metagenome,3003.D28,,,,,,,no,,,,,MURDOCH CHILDRENS RESEARCH INSTITUTE,SRA599826,,public,47F8B44180FA7F8254EFAB16EE353B88,2CB58A3A63D798AD6286B9F955274C08
SRR5940847,2018-02-20 00:08:05,2017-08-17 03:14:54,133882,80321394,133882,599,45,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/940/SRR5940847.sralite.1,SRX3099471,3003.D8,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP115591,PRJNA398590,2,398590,SRS2435511,SAMN07513507,simple,1632839,human vaginal metagenome,3003.D8,,,,,,,no,,,,,MURDOCH CHILDRENS RESEARCH INSTITUTE,SRA599826,,public,25B9A3A6B1062A7E957E62C7348108AF,C9D855ABAC00E8653298E4F4605C2DC1
SRR5940857,2018-02-20 00:08:05,2017-08-17 03:15:02,37818,22732429,37818,601,13,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/940/SRR5940857.sralite.1,SRX3099461,3009.D0,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP115591,PRJNA398590,2,398590,SRS2435501,SAMN07513523,simple,1632839,human vaginal metagenome,3009.D0,,,,,,,no,,,,,MURDOCH CHILDRENS RESEARCH INSTITUTE,SRA599826,,public,8EFC0F57DA8DC15B9427E9FA4EE96DD9,C8F17AF8D45E1E9DAA268A6EDFF66F8E
SRR5940856,2018-02-20 00:08:05,2017-08-17 03:15:00,29685,17839850,29685,600,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/940/SRR5940856.sralite.1,SRX3099462,3009.D14,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP115591,PRJNA398590,2,398590,SRS2435502,SAMN07513524,simple,1632839,human vaginal metagenome,3009.D14,,,,,,,no,,,,,MURDOCH CHILDRENS RESEARCH INSTITUTE,SRA599826,,public,998A3DF91017C778BED926B15E955A9D,9C2027BF3FC4092EC95E8590FF13E222
SRR5940855,2018-02-20 00:08:05,2017-08-17 03:14:41,10227,5795756,10227,566,3,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/940/SRR5940855.sralite.1,SRX3099463,3009.D28,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP115591,PRJNA398590,2,398590,SRS2435503,SAMN07513525,simple,1632839,human vaginal metagenome,3009.D28,,,,,,,no,,,,,MURDOCH CHILDRENS RESEARCH INSTITUTE,SRA599826,,public,7B0EACA41EB6658BFFDFCE23F428CF2E,6F098B9F6703B0C3B836CA96D992A4BD
SRR5940854,2018-02-20 00:08:05,2017-08-17 03:14:57,41183,24756323,41183,601,14,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/940/SRR5940854.sralite.1,SRX3099464,3009.D8,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP115591,PRJNA398590,2,398590,SRS2435504,SAMN07513526,simple,1632839,human vaginal metagenome,3009.D8,,,,,,,no,,,,,MURDOCH CHILDRENS RESEARCH INSTITUTE,SRA599826,,public,E85CEC9EEDF8D72A62F8E70E0DE30859,A2C8376622C147532BFBF0DE617B2E55
SRR5940853,2018-02-20 00:08:05,2017-08-17 03:15:12,44614,26845608,44614,601,15,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/940/SRR5940853.sralite.1,SRX3099465,3010.D0,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP115591,PRJNA398590,2,398590,SRS2435505,SAMN07513527,simple,1632839,human vaginal metagenome,3010.D0,,,,,,,no,,,,,MURDOCH CHILDRENS RESEARCH INSTITUTE,SRA599826,,public,BAD45D575466E32F7C582D1578DBC74C,57A19913537D1371CB2B13FEF012ECD9
SRR5940829,2018-02-20 00:08:05,2017-08-17 03:14:04,27828,16729623,27828,601,9,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/940/SRR5940829.sralite.1,SRX3099489,3010.D8,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP115591,PRJNA398590,2,398590,SRS2435529,SAMN07513529,simple,1632839,human vaginal metagenome,3010.D8,,,,,,,no,,,,,MURDOCH CHILDRENS RESEARCH INSTITUTE,SRA599826,,public,48EF87FD5C60F809F721AACC6A03F166,3D946D3A6DA39F3D94AFC292D6274EAA
